model,parameter,macro_avg_f1-score,weighted_avg_f1-score
svc,"(1.5, 'rbf', 3, 0.3, 0)",0.722204153184079,0.8423790210485039
svc,"(1.5, 'sigmoid', 3, 0.25, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(1.5, 'sigmoid', 3, 0.25, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.5, 'sigmoid', 3, 0.25, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'poly', 2, 0.3, -0.5)",0.7199590011220166,0.8425776887305196
svc,"(0.75, 'poly', 2, 0.3, 0.0)",0.718560515815143,0.8413594607630209
svc,"(0.75, 'poly', 2, 0.3, 0.5)",0.718560515815143,0.8413594607630209
svc,"(1.0, 'sigmoid', 3, 0.35, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.25, 'poly', 5, 0.35, -0.5)",0.685577805717823,0.8001305704641167
svc,"(1.25, 'poly', 5, 0.35, 0.0)",0.6958629829458299,0.8075113981884346
svc,"(1.25, 'poly', 5, 0.35, 0.5)",0.6966160429621768,0.8095352286734039
svc,"(1.5, 'rbf', 3, 0.25, 0)",0.7219445544761188,0.8418670077560612
svc,"(0.75, 'linear', 3, 'scale', 0)",0.7072138153622156,0.839318626290241
svc,"(0.5, 'sigmoid', 3, 0.3, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'sigmoid', 3, 0.3, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'sigmoid', 3, 0.3, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.0, 'linear', 3, 'scale', 0)",0.7043243870549534,0.8374516415588078
svc,"(0.75, 'poly', 4, 0.25, -0.5)",0.7010424436556284,0.8105911638090635
svc,"(0.75, 'poly', 4, 0.25, 0.0)",0.6727607990324898,0.7896425326014417
svc,"(0.75, 'poly', 4, 0.25, 0.5)",0.6949125975911523,0.8059309333987632
svc,"(0.75, 'poly', 1, 0.3, -0.5)",0.7121887723887377,0.8432420615895664
svc,"(0.75, 'poly', 1, 0.3, 0.0)",0.7121887723887377,0.8432420615895664
svc,"(0.75, 'poly', 1, 0.3, 0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.25, 'poly', 5, 0.15, -0.5)",0.6993800814154074,0.8106620839540981
svc,"(1.25, 'poly', 5, 0.15, 0.0)",0.7037819521343276,0.8142097729266878
