model,parameter,macro_avg_f1-score,weighted_avg_f1-score
svc,"(0.75, 'poly', 1, 0.3, 0.0)",0.375834142130373,0.7500411262683762
svc,"(0.75, 'poly', 1, 0.3, 0.5)",0.375834142130373,0.7500411262683762
svc,"(0.75, 'poly', 1, 0.3, -0.5)",0.375834142130373,0.7500411262683762
svc,"(1.0, 'poly', 5, 'scale', -0.5)",0.3921938535016462,0.7388366198743809
svc,"(1.0, 'poly', 5, 'scale', 0.5)",0.40019065123337966,0.7463163824335942
svc,"(1.0, 'poly', 5, 'scale', 0.0)",0.3968527996548608,0.7439185719110964
svc,"(0.5, 'poly', 1, 0.15, 0.5)",0.3761437476361233,0.7461404194419223
svc,"(0.5, 'poly', 1, 0.15, -0.5)",0.3761437476361233,0.7461404194419223
svc,"(0.5, 'poly', 1, 0.15, 0.0)",0.3761437476361233,0.7461404194419223
svc,"(0.5, 'rbf', 3, 0.3, 0)",0.3847719888848658,0.7578731233321141
svc,"(1.5, 'poly', 2, 'scale', -0.5)",0.40121955260665726,0.7583474720904245
svc,"(1.5, 'poly', 2, 'scale', 0.5)",0.40143129790419,0.7580667555118215
svc,"(1.5, 'poly', 2, 'scale', 0.0)",0.40121955260665726,0.7583474720904245
svc,"(1.25, 'poly', 4, 0.35, 0.0)",0.4000866468948613,0.7423692724583293
svc,"(1.25, 'poly', 4, 0.35, -0.5)",0.3938300087066957,0.7424166484963278
svc,"(0.75, 'poly', 5, 0.35, 0.0)",0.3998762171684265,0.7422168590871577
svc,"(0.75, 'poly', 5, 0.35, 0.5)",0.381114707040876,0.7351392915203765
svc,"(0.75, 'poly', 5, 0.35, -0.5)",0.3865051943146708,0.7372529431104945
svc,"(1.0, 'poly', 3, 'auto', -0.5)",0.37307720862335003,0.7454770965364431
svc,"(1.0, 'poly', 3, 'auto', 0.0)",0.37550077054115905,0.7470181430066192
svc,"(1.0, 'poly', 3, 'auto', 0.5)",0.375834142130373,0.7500411262683762
svc,"(1.25, 'poly', 4, 0.35, 0.5)",0.3983467662583654,0.743216146281421
svc,"(1.25, 'poly', 1, 'auto', 0.0)",0.3241877040601875,0.7063422352001594
svc,"(1.25, 'poly', 1, 'auto', -0.5)",0.3241877040601875,0.7063422352001594
svc,"(0.5, 'poly', 4, 'scale', 0.5)",0.3881868712464883,0.7396882554185322
svc,"(0.5, 'poly', 4, 'scale', -0.5)",0.39777886557913367,0.7440236833172306
svc,"(0.5, 'poly', 4, 'scale', 0.0)",0.38902321499613607,0.7380210354016328
svc,"(1.25, 'poly', 3, 'scale', -0.5)",0.4025457004325681,0.7461135461644588
svc,"(1.25, 'poly', 3, 'scale', 0.5)",0.40290235493718346,0.7444039085996337
svc,"(1.25, 'poly', 3, 'scale', 0.0)",0.3894753605529216,0.741286107094461
svc,"(0.75, 'poly', 2, 0.35, -0.5)",0.3955234431682211,0.7534968269044601
svc,"(0.75, 'poly', 2, 0.35, 0.0)",0.3955234431682211,0.7534968269044601
svc,"(0.75, 'poly', 2, 0.35, 0.5)",0.3955234431682211,0.7534968269044601
svc,"(1.5, 'sigmoid', 3, 0.35, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.5, 'sigmoid', 3, 0.35, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.5, 'sigmoid', 3, 0.35, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.25, 'rbf', 3, 'auto', 0)",0.36112152319459856,0.7338715233635146
svc,"(1.25, 'poly', 4, 0.15, -0.5)",0.387506555105283,0.7342375372043851
svc,"(1.25, 'poly', 4, 0.15, 0.0)",0.3968131204652894,0.7414912994994605
svc,"(1.25, 'poly', 4, 0.15, 0.5)",0.3976486854999025,0.743435407821913
svc,"(1.5, 'sigmoid', 3, 0.15, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.5, 'sigmoid', 3, 0.15, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'poly', 2, 0.15, -0.5)",0.38450050386506296,0.7448377261896263
svc,"(0.75, 'poly', 2, 0.15, 0.0)",0.3843382698918664,0.7451451360315544
svc,"(0.75, 'poly', 2, 0.15, 0.5)",0.38450050386506296,0.7448377261896263
svc,"(1.5, 'sigmoid', 3, 0.15, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.25, 'poly', 2, 'scale', -0.5)",0.39572359686645836,0.7532081357025154
svc,"(1.25, 'poly', 2, 'scale', 0.5)",0.39572359686645836,0.7532081357025154
svc,"(1.25, 'poly', 2, 'scale', 0.0)",0.3968414490456868,0.7547219668154833
svc,"(1.0, 'sigmoid', 3, 0.35, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 0.35, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.25, 'poly', 5, 0.25, -0.5)",0.3945045722715082,0.7412524895779286
svc,"(1.25, 'poly', 5, 0.25, 0.0)",0.3958763959819118,0.7396706248788103
svc,"(1.25, 'poly', 5, 0.25, 0.5)",0.38878275623125585,0.7402632017640631
svc,"(1.0, 'sigmoid', 3, 0.35, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'sigmoid', 3, 0.2, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 0.15, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 0.15, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'poly', 1, 0.3, 0.0)",0.3786458831370598,0.7529617890586091
svc,"(1.0, 'poly', 1, 0.3, 0.5)",0.3786458831370598,0.7529617890586091
svc,"(1.0, 'poly', 1, 0.3, -0.5)",0.3786458831370598,0.7529617890586091
svc,"(1.0, 'sigmoid', 3, 0.15, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.5, 'poly', 1, 0.25, 0.0)",0.3751988724775446,0.7472939849926898
svc,"(0.5, 'poly', 1, 0.25, 0.5)",0.3751988724775446,0.7472939849926898
svc,"(0.5, 'poly', 1, 0.25, -0.5)",0.3751988724775446,0.7472939849926898
svc,"(0.75, 'rbf', 3, 0.2, 0)",0.3836916534623209,0.7572751576219203
svc,"(0.75, 'poly', 1, 0.2, -0.5)",0.375834142130373,0.7500411262683762
svc,"(0.75, 'poly', 1, 0.2, 0.0)",0.375834142130373,0.7500411262683762
svc,"(0.75, 'poly', 1, 0.2, 0.5)",0.375834142130373,0.7500411262683762
svc,"(0.5, 'rbf', 3, 0.35, 0)",0.3847719888848658,0.7578731233321141
svc,"(1.25, 'poly', 4, 0.25, -0.5)",0.39885063899552,0.7429833445040337
svc,"(1.25, 'poly', 4, 0.25, 0.0)",0.40104785733496584,0.7466798249990779
svc,"(1.25, 'poly', 4, 0.25, 0.5)",0.3963228264353996,0.7405634457920921
svc,"(1.5, 'poly', 3, 'auto', -0.5)",0.37550077054115905,0.7470181430066192
svc,"(1.5, 'poly', 2, 0.2, -0.5)",0.3931774206856087,0.7526365295466941
svc,"(1.5, 'poly', 2, 0.2, 0.0)",0.39334026406944367,0.7523171717981139
svc,"(1.5, 'poly', 2, 0.2, 0.5)",0.3954962800829873,0.754130481607802
svc,"(1.5, 'poly', 3, 'auto', 0.0)",0.37436972840789473,0.7485430174861882
svc,"(1.5, 'poly', 3, 'auto', 0.5)",0.375834142130373,0.7500411262683762
svc,"(1.0, 'rbf', 3, 'scale', 0)",0.38175156161794965,0.7547938363265866
svc,"(0.75, 'poly', 2, 0.25, 0.5)",0.39498384104478856,0.7528573896465586
svc,"(0.75, 'poly', 2, 0.25, -0.5)",0.39498384104478856,0.7528573896465586
svc,"(0.75, 'poly', 2, 0.25, 0.0)",0.3926649816474099,0.7513634375854508
svc,"(1.25, 'poly', 3, 0.2, 0.0)",0.40829826995543106,0.7519058407104962
svc,"(1.25, 'poly', 3, 0.2, 0.5)",0.3988101310321618,0.747241752722042
svc,"(1.25, 'poly', 3, 0.2, -0.5)",0.40671056979143533,0.7481317557365761
svc,"(1.5, 'poly', 5, 0.3, 0.5)",0.4024980946297835,0.7457994124819014
svc,"(1.5, 'poly', 5, 0.3, -0.5)",0.39840880536115697,0.7444163139667623
svc,"(1.5, 'poly', 5, 0.3, 0.0)",0.39626103913198807,0.7435590836411711
svc,"(0.5, 'rbf', 3, 0.15, 0)",0.3815315285437295,0.7551676388814818
svc,"(0.5, 'poly', 3, 'auto', -0.5)",0.3763133381675816,0.7467354241414631
svc,"(0.5, 'poly', 3, 'auto', 0.0)",0.3744663748581817,0.7450123420441708
svc,"(0.5, 'poly', 3, 'auto', 0.5)",0.37550077054115905,0.7470181430066192
svc,"(0.75, 'rbf', 3, 'auto', 0)",0.3330031447499431,0.7123471227686153
svc,"(0.75, 'sigmoid', 3, 0.25, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'sigmoid', 3, 0.25, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'sigmoid', 3, 0.25, -0.5)",0.23719862181489534,0.6561237651288766
